,title,directors,scraptwriter,type,country,language,date,flength,rate
3192,辣手神探,吴宇森,黄炳耀,剧情动作惊悚犯罪,中国,粤语,1992-04-16,128 分钟,7.9
3193,辩护人 변호인,杨宇硕,杨宇硕 尹贤浩,剧情,韩国,韩语,2013-12-18(韩国),127分钟,9.2
3194,边城,凌子风,沈从文 姚云 李隽培,剧情,中国,汉语普通话,1992-12-16(美国),95分钟,8.1
3195,边境杀手 Sicario,丹尼斯·维伦纽瓦,泰勒·谢里丹,剧情惊悚犯罪,美国,英语西班牙语,2015-05-19(戛纳电影节)2015-10-02(美国),121分钟,7.6
3196,边境杀手2：边境战士 Sicario: Day of the Soldado,斯特法诺·索利马,泰勒·谢里丹,剧情动作犯罪,美国意大利,英语西班牙语,2018-06-29(美国),122分钟,6.7
3197,边境风云,程耳,程耳,剧情犯罪,中国,汉语普通话四川话缅甸语,2012-08-17(中国大陆),100分钟,7.7
3198,边缘日记 The Basketball Diaries,斯科特·卡尔维特,Jim Carroll Bryan Goluboff,剧情传记犯罪运动,美国,英语,1995-04-21,102 分钟,8.2
3199,达·芬奇密码 The Da Vinci Code,朗·霍华德,阿齐瓦·高斯曼 丹·布朗,悬疑惊悚,美国马耳他法国英国,英语法语拉丁语西班牙语,2006-05-19(美国/中国大陆),149 分钟,7.4
3200,达拉斯买家俱乐部 Dallas Buyers Club,让-马克·瓦雷,克莱格·鲍登 梅丽莎·沃雷克,剧情同性传记,美国,英语日语,2013-09-07(多伦多电影节)2013-11-22(美国),117分钟,8.8
3201,过年,黄健中,姜一,剧情家庭,中国,汉语普通话,1991-02-12(中国大陆),101分钟,8.8
3202,过年好,高群书,来劲 罗二羊 吴九汐,喜剧,中国,汉语普通话,2016-02-01(中国大陆),106分钟,5.2
3203,过昭关,霍猛,霍猛,剧情家庭儿童,中国,河南方言,2019-05-20(中国大陆)2018-10-17(平遥国际电影展),93分钟,7.9
3204,迈阿密风云 Miami Vice,迈克尔·曼,迈克尔·曼 安东尼·耶科维奇,剧情动作惊悚犯罪,美国,英语西班牙语,2006-07-28(美国),134分钟,5.7
3205,运转手之恋 運転手之恋,张华坤陈以文,苏照彬,喜剧爱情,中国,汉语普通话,2000-11-11(中国台湾),94分钟,8.3
3206,近距离恋爱 近キョリ恋愛,熊泽尚人,みきもと凜（原著） まなべゆきこ,爱情,日本,日语,2014-10-11(日本),118分钟,6.3
3207,还在相爱吗？ 아직 사랑하고 있습니까,Yangjoong Shin,沈杨重,喜剧,韩国,韩语,2019-12-05(韩国),99分钟,5.6
3208,这个男人来自地球 The Man from Earth,理查德·沙因克曼,杰罗姆·比克斯比,剧情科幻,美国,英语,2007-11-13(美国),87 分钟,8.5
3209,这就是命,王丹,王迅 曾志伟 梁超 潘斌龙 于莎莎 赵英俊 卢惠光 金圣柱 黄小蕾 关喆,喜剧犯罪,中国,汉语普通话,2017-12-01(中国大陆),98分钟,4.4
3210,这时对那时错 지금은맞고그때는틀리다,洪常秀,洪常秀,剧情,韩国,韩语,2015-08-13(洛迦诺电影节)2015-09-24(韩国),121分钟,7.5
3211,这里的黎明静悄悄 А зори здесь тихие...,列纳特·达夫列吉亚罗夫,列纳特·达夫列吉亚罗夫 尤里·科罗特科夫,剧情战争,俄罗斯,俄语德语,2015-08-25(中国大陆)2015-04-30(俄罗斯),115分钟(中国大陆),7.9
3212,进击的巨人真人版：前篇 進撃の巨人 ATTACK ON TITAN,樋口真嗣,渡边雄介 町山智浩 谏山创,动作科幻惊悚,日本,日语,2015-08-01(日本),98分钟,5.1
3213,进击的巨人：编年史 進撃の巨人 〜クロニクル〜,荒木哲郎,谏山创 小仓史科,动画,日本,日语,2020-07-17(日本),120分钟,8.5
3214,进化危机 Evolution,伊万·雷特曼,唐·雅各比 大卫·戴尔蒙德 David Weissman,喜剧科幻,美国,英语,2001-06-08,101 分钟,6.8
3215,远大前程 Great Expectations,阿方索·卡隆,米奇·格雷泽 查尔斯·狄更斯,剧情爱情,美国,英语法语,1998-01-30,111 分钟,7.6
3216,迪迦奥特曼：最终圣战 ウルトラマンティガ THE FINAL ODYSSEY,村石宏实,长谷川圭一,动作科幻奇幻冒险,日本,日语,2000-03-11(日本),84分钟,8.8
3217,迷失东京 Lost in Translation,索菲亚·科波拉,索菲亚·科波拉,剧情爱情,美国日本,英语日语德语法语,2003-08-29(特柳赖德电影节)2003-10-03(美国),102 分钟,7.7
3218,迷雾 The Mist,弗兰克·德拉邦特,弗兰克·德拉邦特 斯蒂芬·金,科幻惊悚恐怖,美国,英语,2007-11-21(美国),126分钟,8.0
3219,迷魂记 Vertigo,阿尔弗雷德·希区柯克,亚历克·科佩尔 萨缪尔·A·泰勒 皮埃尔·布瓦洛 托马·纳西雅克 马克斯韦尔·安德森,爱情悬疑惊悚,美国,英语,1958-05-09(美国),128 分钟,8.6
3220,追凶十九年,徐翔云,徐翔云 刘雅,剧情悬疑犯罪,中国,汉语普通话,2019-11-22(中国大陆)2019-10-14(平遥电影节),105分钟,5.6
3221,追凶者也,曹保平,张天辉 阳建军 曹保平,剧情喜剧犯罪,中国,西南方言,2016-09-14(中国大陆),110分钟,7.8
3222,追击者 추격자,罗泓轸,罗泓轸,剧情惊悚犯罪,韩国,韩语,2008-02-14(韩国),125分钟,8.4
3223,追捕,吴宇森,陈庆嘉 陈嘉上 阮世生 江良至 顾在林 王思敏 叶沛洁,剧情动作悬疑犯罪,中国香港中国大陆,汉语普通话英语日语,2017-11-24(中国大陆)2017-09-06(威尼斯电影节),106分钟,4.5
3224,追捕 君よ憤怒の河を渉れ,佐藤纯弥,田坂启 西村寿行,剧情动作犯罪,日本,日语,1979(中国大陆)1976-02-11(日本),151分钟,8.2
3225,追捕野蛮人 Hunt for the Wilderpeople,塔伊加·维迪提,塔伊加·维迪提 巴瑞·克鲁普 特阿雷巴·卡希,剧情喜剧冒险,新西兰,英语,2016-01-22(圣丹斯电影节)2016-03-31(新西兰),101分钟,8.1
3226,追杀胖老爹 Fatman,艾什姆·内尔姆斯伊恩·内尔姆斯,艾什姆·内尔姆斯 伊恩·内尔姆斯,喜剧动作奇幻,英国加拿大美国,英语,2020-10-08(法国网络)2020-10-17(Film Fest 919)2020-11-2,100分钟,5.5
3227,追梦赤子心 Rudy,大卫·安斯鲍夫,安吉罗·皮佐,剧情传记运动,美国,英语,1993-10-13,114 分钟,8.8
3228,追男仔,王晶,王晶,喜剧,中国,粤语,1993-08-12(中国香港),97分钟,7.3
3229,追逐繁星的孩子 星を追う子ども,新海诚,新海诚,动画奇幻冒险,日本,日语,2011-05-07(日本),116分钟,7.4
3230,追随 Following,克里斯托弗·诺兰,克里斯托弗·诺兰,悬疑惊悚犯罪,英国,英语,1998-09-12(多伦多电影节)1999-11-05(英国),69分钟,8.9
3231,追龙 追龍,王晶关智耀,王晶 吕冠南 叶铭浩,动作犯罪,中国香港中国大陆,粤语汉语普通话,2017-09-30(中国大陆),128分钟,7.2
